iter	Logloss
0	0.6829272635
1	0.672454521
2	0.6623887168
3	0.6528251597
4	0.6452501001
5	0.6362788409
6	0.6281125465
7	0.6207757079
8	0.6122973868
9	0.6053888137
10	0.5993144302
11	0.5928416362
12	0.5853379115
13	0.578459777
14	0.57297546
15	0.5666665233
16	0.5613716374
17	0.5562306243
18	0.5501783766
19	0.5453905452
20	0.5399354287
21	0.5347478616
22	0.5311071642
23	0.5265469515
24	0.5219509278
25	0.5172919722
26	0.5131193268
27	0.510204979
28	0.5062723398
29	0.5035262713
30	0.5005684324
31	0.4970880068
32	0.4948389662
33	0.4911630008
34	0.4881408456
35	0.4853627629
36	0.4834338043
37	0.4804502995
38	0.4773582948
39	0.4747712882
40	0.4728101833
41	0.4699579021
42	0.4678658892
43	0.4665590522
44	0.4646617425
45	0.4627387787
46	0.4613745348
47	0.4589083869
48	0.4580654124
49	0.4560419387
50	0.4541972992
51	0.4520764186
52	0.4501504842
53	0.4489846061
54	0.4473946494
55	0.4452453076
56	0.444098652
57	0.4420613846
58	0.4400071144
59	0.4385615116
60	0.4377423275
61	0.436931204
62	0.4354765702
63	0.4342966988
64	0.4332708847
65	0.4316393069
66	0.4304497443
67	0.4289835398
68	0.4276235193
69	0.426367362
70	0.4256327375
71	0.4241181113
72	0.4234582524
73	0.4221946538
74	0.4214086992
75	0.4207144487
76	0.4201223338
77	0.4188284521
78	0.4180723418
79	0.4171673539
80	0.4162541461
81	0.4158015977
82	0.4144295391
83	0.4133712119
84	0.4129071822
85	0.4121152572
86	0.4112752907
87	0.4101629981
88	0.409882656
89	0.4095574421
90	0.4084628386
91	0.4079036245
92	0.4070992324
93	0.406763562
94	0.4059331415
95	0.4056720376
96	0.4051986742
97	0.4047329853
98	0.4040094672
99	0.4030651313
100	0.4028375905
101	0.4021440364
102	0.4017286468
103	0.4010261643
104	0.4000911826
105	0.3993749308
106	0.3990105129
107	0.398347317
108	0.3981731185
109	0.3973999369
110	0.3972578282
111	0.3968199334
112	0.3967140647
113	0.3958136737
114	0.3953357866
115	0.3949773875
116	0.3945003342
117	0.394015848
118	0.393916122
119	0.3935575805
120	0.3930230129
121	0.39237506
122	0.3922701125
123	0.3920028861
124	0.3918461581
125	0.3915484957
126	0.3912533088
127	0.3907838951
128	0.3906594023
129	0.3903356096
130	0.3900773024
131	0.3897478783
132	0.3895328653
133	0.3892920372
134	0.3891528646
135	0.3888920292
136	0.3886623557
137	0.3883411604
138	0.3881101485
139	0.3876696251
140	0.3872288976
141	0.3867528392
142	0.3866793856
143	0.3864497028
144	0.3863883601
145	0.3862119415
146	0.3860762415
147	0.3857962724
148	0.3857257735
149	0.385321382
150	0.3851248523
151	0.3850729183
152	0.3846715236
153	0.3845598849
154	0.3840839161
155	0.3839243897
156	0.3835099124
157	0.3829269308
158	0.3825378669
159	0.3823402361
160	0.381957011
161	0.3816914497
162	0.3814145697
163	0.3812706652
164	0.3810180003
165	0.380896298
166	0.3807199781
167	0.3801450384
168	0.379740978
169	0.3792635045
170	0.3791558414
171	0.379091041
172	0.3789154029
173	0.3788545815
174	0.3786967001
175	0.3785170484
176	0.3782341746
177	0.3777330344
178	0.3775033179
179	0.37747532
180	0.3771039845
181	0.3770149004
182	0.3769816318
183	0.3769091501
184	0.376511025
185	0.3762314629
186	0.376055137
187	0.3756811393
188	0.3756475395
189	0.3754162032
190	0.3753191383
191	0.3751902347
192	0.3750368707
193	0.374939655
194	0.374693368
195	0.3744011832
196	0.3743809495
197	0.3740026101
198	0.3737035785
199	0.3734414887
200	0.3731882911
201	0.3728121399
202	0.372641878
203	0.3725537774
204	0.3723815271
205	0.3722007483
206	0.3720055284
207	0.3719055844
208	0.3717367364
209	0.3713422655
210	0.3710870027
211	0.3709236528
212	0.3707284178
213	0.3706646501
214	0.3703070065
215	0.3700828662
216	0.369902388
217	0.3697353981
218	0.3696707778
219	0.3696305315
220	0.3695813224
221	0.3693949007
222	0.369157202
223	0.3688939483
224	0.368842917
225	0.3687106382
226	0.3686363453
227	0.3684580326
228	0.3683741014
229	0.3681862775
230	0.3681120826
231	0.3680086081
232	0.3679657897
233	0.3678360904
234	0.3676238812
235	0.3675618548
236	0.36747729
237	0.3672896004
238	0.3671864565
239	0.3671179627
240	0.367040717
241	0.3670247299
242	0.3668471691
243	0.3666157643
244	0.3665145972
245	0.3664522189
246	0.3663897861
247	0.3663630726
248	0.3663384934
249	0.3661347609
250	0.3661056626
251	0.3660515529
252	0.3660472496
253	0.3656995392
